,Security Id,Security Name,Group,Industry
575,INDIANCARD,INDIAN CARD CLOTHING CO.LTD.,B ,Textiles
576,JAYSHREETEA,JAY SHREE TEA &amp; INDUSTRIES LTD.,T ,Tea &amp; Coffee
577,OSEASPR,OSEASPRE CONSULTANTS LTD.,XT,Misc.Commercial Services
579,RJSHAH,R.J.SHAH &amp; CO.LTD.,P ,Realty
581,SHALPAINTS,SHALIMAR PAINTS LTD.-$,B ,Furniture-Furnishing-Paints
583,TECHCON,TECHNOJET CONSULTANTS LTD.,XT,Electronic Components
584,SUPREMEIND,SUPREME INDUSTRIES LTD.,A ,Plastic Products
585,THACKER,THACKER &amp; CO.LTD.,XT,Other Financial Services
586,TRADWIN,TRADE WINGS LTD.,XT,Travel Support Services
587,VSTIND,VST INDUSTRIES LTD.,B ,Cigarettes-Tobacco Products
588,MADHUSE,MADHUSUDAN SECURITIES LTD.,XT,Finance (including NBFCs)
589,YAMNINV,YAMINI INVESTMENTS COMPANY LTD.,XT,Investment Companies
590,ZMILGFIN,MILGRAY FINANCE &amp; INVESTMENT LTD.,P ,Misc.Commercial Services
592,JINDRILL,JINDAL DRILLING &amp; INDUSTRIES LTD.,B ,Exploration &amp; Production
595,DHFL,DEWAN HOUSING FINANCE CORPORATION LTD.,A ,Housing Finance 
597,TVOLCON,TIVOLI CONSTRUCTION LTD.,P ,Realty
598,1STCUS,FIRST CUSTODIAN FUND (INDIA) LTD.,XT,Finance (including NBFCs)
601,WSFIN,WALL STREET FINANCE LTD.,XT,Finance (including NBFCs)
603,ANJANIFOODS,Anjani Foods Ltd,XT,Misc.Commercial Services
605,PARSHWANA,PARSHWANATH CORPORATION LTD.,XT,Realty
607,CANFINHOME,CAN FIN HOMES LTD.,A ,Housing Finance 
608,MUNCAPM,MUNOTH CAPITAL MARKET LTD.,XT,Misc.Commercial Services
609,IVC,IL&amp;FS INVESTMENT MANAGERS LTD.,B ,Asset Management Cos.
610,SRTRANSFIN,SHRIRAM TRANSPORT FINANCE CO.LTD.,A ,Finance (including NBFCs)
