,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
6104,539096,AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,Active,XT,10.0,INE197R01010,Textiles,Equity
6105,539097,YOGYA,Yogya Enterprises Ltd,Active,M ,10.0,INE904R01019,Comm.Trading  &amp; Distribution,Equity
6106,539098,FILTRA,Filtra Consultants and Engineers Ltd,Active,M ,10.0,INE541R01019,Utilities:Non-Elec.,Equity
6107,539099,ATHCON,Athena Constructions Ltd,Active,M ,10.0,INE291R01011,Realty,Equity
6110,539110,NORTHLINK,Northlink Fiscal and Capital Services Ltd,Active,XT,10.0,INE736P01019,Finance (including NBFCs),Equity
6111,539114,HINDSECR,Hind Securities &amp; Credits Ltd,Active,XT,10.0,INE727Q01016,Finance (including NBFCs),Equity
6113,539116,OPCHAINS,O. P. Chains Ltd,Active,M ,10.0,INE118Q01018,Comm.Trading  &amp; Distribution,Equity
6114,539118,VRLLOG*,VRL Logistics Ltd,Active,B ,10.0,INE366I01010,Transportation - Logistics,Equity
6115,539119,JAINMARMO,Jain Marmo Industries Ltd,Active,XT,10.0,INE780Q01015,Construction Materials,Equity
6116,539120,BFFL,Bangalore Fort Farms Ltd,Active,XT,10.0,INE578R01011,Jute &amp; Jute Products,Equity
6117,539121,PALCO,Palco Metals Ltd,Active,XT,10.0,INE239L01013,Aluminium,Equity
6118,539124,SARVOTTAM,Sarvottam Finvest Ltd,Active,XT,10.0,INE822Q01015,Finance (including NBFCs),Equity
6119,539126,MEP,MEP Infrastructure Developers Ltd,Active,B ,10.0,INE776I01010,Roads &amp; Highways,Equity
6120,539131,CLLIMITED,Crescent Leasing Ltd,Active,XT,10.0,INE767G01013,Investment Companies,Equity
6129,539141,UFO,UFO Moviez India Ltd,Active,B ,10.0,INE527H01019,Broadcasting &amp; Cable TV,Equity
6131,539149,ICSL,Integrated Capital Services Ltd,Active,XT,1.0,INE682B01023,Consulting Services,Equity
6132,539150,PNCINFRA,PNC Infratech Ltd,Active,B ,2.0,INE195J01029,Roads &amp; Highways,Equity
6134,539168,SPISYS,Spisys Ltd,Active,Z ,10.0,INE805E01016,Other Food Products,Equity
6135,539175,INDRAIND,Indra Industries Ltd,Active,XT,10.0,INE924N01016,Fertilizers,Equity
6136,539176,HAWAENG,Hawa Engineers Ltd,Active,XT,10.0,INE230I01018,Industrial Machinery,Equity
6140,539189,ADHBHUTIN,Adhbhut Infrastructure Ltd,Active,XT,10.0,INE578L01014,Realty,Equity
6143,539198,CAPFIN,Capfin India Ltd,Active,XT,10.0,INE960C01013,Other Financial Services,Equity
6144,539199,MOONGIPASEC,Moongipa Securities Ltd,Active,XT,10.0,INE618R01015,Other Financial Services,Equity
6145,539200,NOBPOL,Noble Polymers Ltd,Active,XT,5.0,INE203Q01026,Plastic Products,Equity
