,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
0,500002,ABB,ABB India Limited,Active,A ,2.0,INE117A01022,Heavy Electrical Equipment,Equity
1,500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.0,INE208C01025,Oil Marketing &amp; Distribution,Equity
5,500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Auto Parts &amp; Equipment,Equity
6,500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.0,INE001A01036,Housing Finance ,Equity
8,500013,ANSALAPI,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.,Active,B ,5.0,INE436A01026,Realty,Equity
13,500020,BOMDYEING,BOMBAY DYEING &amp; MFG.CO.LTD.,Active,A ,2.0,INE032A01023,Textiles,Equity
15,500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.0,INE363A01022,Hotels,Equity
16,500024,ASSAMCO,Assam Company (India) Limited,Active,T ,1.0,INE442A01024,Tea &amp; Coffee,Equity
18,500027,ATUL,ATUL LTD.,Active,A ,10.0,INE100A01010,Agrochemicals,Equity
19,500028,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.0,INE447A01015,Construction &amp; Engineering,Equity
20,500029,AUTOLITIND,AUTOLITE (INDIA) LTD.,Active,B ,10.0,INE448A01013,Auto Parts &amp; Equipment,Equity
22,500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.0,INE193E01025,Household Appliances,Equity
23,500032,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,B ,1.0,INE306A01021,Sugar,Equity
24,500033,FORCEMOT,FORCE MOTORS LTD.-$,Active,B ,10.0,INE451A01017,Cars &amp; Utility Vehicles,Equity
25,500034,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.0,INE296A01024,Finance (including NBFCs),Equity
28,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.0,INE119A01028,Sugar,Equity
29,500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Parts &amp; Equipment,Equity
30,500040,CENTURYTEX,CENTURY TEXTILES &amp; INDUSTRIES LTD.,Active,A ,10.0,INE055A01016,Cement &amp; Cement Products,Equity
31,500041,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B ,10.0,INE459A01010,Sugar,Equity
32,500042,BASF,BASF INDIA LTD.,Active,B ,10.0,INE373A01013,Specialty Chemicals,Equity
33,500043,BATAINDIA,BATA INDIA LTD.,Active,A ,5.0,INE176A01028,Footwear,Equity
38,500048,BEML,BEML LTD.,Active,A ,10.0,INE258A01016,Commercial Vehicles,Equity
39,500049,BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.0,INE263A01024,Defence,Equity
42,500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B ,1.0,INE922A01025,Specialty Chemicals,Equity
45,500055,BHUSANSTL,BHUSHAN STEEL LTD.,Active,B ,2.0,INE824B01021,Iron &amp; Steel/Interm.Products,Equity
48,500058,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.0,INE819C01011,Iron &amp; Steel/Interm.Products,Equity
49,500059,BINANIIND,BINANI INDUSTRIES LTD.,Active,B ,10.0,INE071A01013,Holding Companies,Equity
50,500060,BIRLACABLE,Birla Cable Ltd,Active,T ,10.0,INE800A01015,Other Elect.Equip./ Prod.,Equity
55,500067,BLUESTARCO,BLUE STAR LTD.,Active,B ,2.0,INE472A01039,Consumer Electronics,Equity
59,500074,BPL,BPL LTD.,Active,B ,10.0,INE110A01019,Consumer Electronics,Equity
67,500083,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.0,INE281A01026,Aluminium,Equity
68,500084,CESC,CESC LTD.,Active,A ,10.0,INE486A01013,Electric Utilities,Equity
69,500085,CHAMBLFERT,CHAMBAL FERTILISERS &amp; CHEMICALS LTD.,Active,B ,10.0,INE085A01013,Fertilizers,Equity
70,500086,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.0,INE302A01020,Auto Parts &amp; Equipment,Equity
71,500087,CIPLA,CIPLA LTD.,Active,A ,2.0,INE059A01026,Pharmaceuticals,Equity
72,500089,DICIND,DIC INDIA LTD.,Active,B ,10.0,INE303A01010,Specialty Chemicals,Equity
75,500092,CRISIL,CRISIL LTD.,Active,A ,1.0,INE007A01025,Other Financial Services,Equity
76,500093,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2.0,INE067A01029,Heavy Electrical Equipment,Equity
79,500096,DABUR,DABUR INDIA LTD.,Active,A ,1.0,INE016A01026,Personal Products,Equity
80,500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.0,INE495A01022,Sugar,Equity
84,500101,ARVIND,ARVIND LTD.,Active,A ,10.0,INE034A01011,Textiles,Equity
85,500102,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,B ,2.0,INE294A01037,Paper &amp; Paper Products,Equity
86,500103,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.0,INE257A01026,Heavy Electrical Equipment,Equity
87,500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE094A01015,Refineries/ Petro-Products,Equity
89,500106,IFCI,IFCI LTD.,Active,A ,10.0,INE039A01010,Financial Institutions,Equity
91,500108,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,10.0,INE153A01019,Telecom Services,Equity
92,500109,MRPL,MANGALORE REFINERY &amp; PETROCHEMICALS LTD.,Active,A ,10.0,INE103A01014,Refineries/ Petro-Products,Equity
93,500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE178A01016,Refineries/ Petro-Products,Equity
94,500111,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,A ,10.0,INE013A01015,Finance (including NBFCs),Equity
95,500112,SBIN,STATE BANK OF INDIA,Active,A ,1.0,INE062A01020,Banks,Equity
96,500113,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.0,INE114A01011,Iron &amp; Steel/Interm.Products,Equity
97,500114,TITAN,Titan Company Limited,Active,A ,1.0,INE280A01028,Other Apparels &amp; Accessories,Equity
99,500116,IDBI,IDBI BANK LTD.,Active,A ,10.0,INE008A01015,Banks,Equity
100,500117,DCW,DCW LTD.,Active,T ,2.0,INE500A01029,Petrochemicals,Equity
101,500119,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,B ,10.0,INE041A01016,Sugar,Equity
104,500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,B ,10.0,INE280B01018,Commodity Chemicals,Equity
105,500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.0,INE089A01023,Pharmaceuticals,Equity
106,500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.0,INE126A01031,Sugar,Equity
107,500126,MERCK,MERCK LTD.,Active,B ,10.0,INE199A01012,Pharmaceuticals,Equity
109,500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.0,INE086A01029,Construction &amp; Engineering,Equity
113,500133,ESABINDIA,ESAB INDIA LTD.,Active,B ,10.0,INE284A01012,Other Industrial Goods,Equity
115,500135,ESSELPRO,ESSEL PROPACK LTD.,Active,B ,2.0,INE255A01020,Containers &amp; Packaging,Equity
116,500136,ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.0,INE778B01029,Commodity Chemicals,Equity
117,500139,FEDDERELEC,Fedders Electric and Engineering Ltd,Active,B ,10.0,INE249C01011,Other Elect.Equip./ Prod.,Equity
119,500142,FGP,FGP LTD.,Active,XT,10.0,INE512A01016,Finance (including NBFCs),Equity
120,500144,FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.0,INE235A01022,Other Elect.Equip./ Prod.,Equity
122,500148,UFLEX,UFLEX LTD.,Active,B ,10.0,INE516A01017,Containers &amp; Packaging,Equity
124,500150,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10.0,INE519A01011,Commodity Chemicals,Equity
125,500151,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,T ,10.0,INE973A01010,Cigarettes-Tobacco Products,Equity
127,500155,GARDENSILK,GARDEN SILK MILLS LTD.,Active,B ,10.0,INE526A01016,Textiles,Equity
131,500160,GTL,GTL LTD.,Active,B ,10.0,INE043A01012,Other Telecom Services,Equity
134,500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.0,INE260B01028,Cigarettes-Tobacco Products,Equity
135,500164,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.0,INE233A01035,Commodity Chemicals,Equity
136,500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.0,INE531A01024,Furniture-Furnishing-Paints,Equity
138,500168,GOODYEAR,GOODYEAR INDIA LTD.,Active,B ,10.0,INE533A01012,Auto Tyres &amp; Rubber Products,Equity
140,500170,GTNINDS,GTN INDUSTRIES LTD.,Active,B ,10.0,INE537A01013,Textiles,Equity
141,500171,GHCL,GHCL LTD.,Active,A ,10.0,INE539A01019,Commodity Chemicals,Equity
142,500173,GUJFLUORO,GUJARAT FLUOROCHEMICALS LTD.,Active,B ,1.0,INE538A01037,Industrial Gases,Equity
143,500174,GLFL,GUJARAT LEASE FINANCING LTD.,Active,T ,10.0,INE540A01017,Finance (including NBFCs),Equity
147,500179,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,A ,2.0,INE236A01020,Computer Hardware,Equity
148,500180,HDFCBANK,HDFC Bank Ltd,Active,A ,2.0,INE040A01026,Banks,Equity
150,500182,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.0,INE158A01026,2/3 Wheelers,Equity
151,500183,HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LTD.,Active,B ,1.0,INE548A01028,Telecom Cables,Equity
152,500184,HSCL,Himadri Speciality Chemical Ltd,Active,B ,1.0,INE019C01026,Specialty Chemicals,Equity
153,500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.0,INE549A01026,Construction &amp; Engineering,Equity
154,500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,B ,10.0,INE345A01011,Exploration &amp; Production,Equity
155,500187,HSIL,HSIL LTD.,Active,B ,2.0,INE415A01038,Containers &amp; Packaging,Equity
156,500188,HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.0,INE267A01025,Zinc,Equity
157,500189,HINDUJAVEN,HINDUJA VENTURES LTD.,Active,B ,10.0,INE353A01023,Broadcasting &amp; Cable TV,Equity
159,500191,HMT,HMT LTD.,Active,Z ,10.0,INE262A01018,Commercial Vehicles,Equity
160,500192,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,XT,10.0,INE962B01011,Textiles,Equity
161,500193,HOTELEELA,HOTEL LEELAVENTURE LTD.,Active,B ,2.0,INE102A01024,Hotels,Equity
165,500199,IGPL,I G PETROCHEMICALS LTD.,Active,B ,10.0,INE204A01010,Commodity Chemicals,Equity
166,500201,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,B ,10.0,INE560A01015,Commodity Chemicals,Equity
167,500202,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,Active,XT,10.0,INE333C01013,Finance (including NBFCs),Equity
170,500206,MARGOFIN,Margo Finance Limited,Active,XT,10.0,INE680B01019,Finance (including NBFCs),Equity
171,500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B ,10.0,INE156A01020,Textiles,Equity
172,500209,INFY,INFOSYS LTD.,Active,A ,5.0,INE009A01021,IT Consulting &amp; Software,Equity
173,500210,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,B ,10.0,INE177A01018,Industrial Machinery,Equity
174,500211,INSILCO,INSILCO LTD.,Active,XT,10.0,INE901A01011,Other Industrial Goods,Equity
175,500212,IFSL,INTEGRATED FINANCIAL SERVICES LTD.,Active,XT,10.0,INE898B01017,Finance (including NBFCs),Equity
176,500214,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,XT,10.0,INE570A01014,Industrial Machinery,Equity
177,500215,ATFL,AGRO TECH FOODS LTD.,Active,B ,10.0,INE209A01019,Other Agricultural Products,Equity
180,500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.0,INE175A01038,Plastic Products,Equity
185,500227,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,B ,10.0,INE197D01010,Commodity Chemicals,Equity
186,500228,JSWSTEEL,JSW STEEL LTD.,Active,A ,1.0,INE019A01038,Iron &amp; Steel/Interm.Products,Equity
189,500231,UMANGDAIR,UMANG DAIRIES LTD.,Active,B ,5.0,INE864B01027,Packaged Foods,Equity
191,500233,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A ,1.0,INE217B01036,Furniture-Furnishing-Paints,Equity
192,500234,KAKATCEM,KAKATIYA CEMENT SUGAR &amp; INDUSTRIES LTD.,Active,B ,10.0,INE437B01014,Cement &amp; Cement Products,Equity
193,500235,KSL,KALYANI STEELS LTD.,Active,B ,5.0,INE907A01026,Iron &amp; Steel/Interm.Products,Equity
196,500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A ,10.0,INE716A01013,Consumer Electronics,Equity
197,500240,KINETICENG,KINETIC ENGINEERING LTD.,Active,XT,10.0,INE266B01017,2/3 Wheelers,Equity
198,500241,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,B ,2.0,INE732A01036,Industrial Machinery,Equity
200,500243,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10.0,INE250A01039,Industrial Machinery,Equity
201,500245,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,B ,5.0,INE884B01025,Iron &amp; Steel/Interm.Products,Equity
202,500247,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.0,INE237A01028,Banks,Equity
203,500248,MAVIIND,MAVI INDUSTRIES LTD.,Active,XT,10.0,INE073A01019,Plastic Products,Equity
204,500249,KSBPUMPS,KSB PUMPS LTD.,Active,B ,10.0,INE999A01015,Industrial Machinery,Equity
205,500250,LGBBROSLTD,L.G.BALAKRISHNAN &amp; BROS.LTD.,Active,B ,10.0,INE337A01034,Auto Parts &amp; Equipment,Equity
206,500251,TRENT,TRENT LTD.,Active,A ,1.0,INE849A01020,Department Stores,Equity
207,500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.0,INE269B01029,Industrial Machinery,Equity
208,500253,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.0,INE115A01026,Housing Finance ,Equity
209,500254,UTTAMVALUE,UTTAM VALUE STEELS LTD.,Active,B ,1.0,INE292A01023,Iron &amp; Steel/Interm.Products,Equity
210,500255,LML,LML LTD.,Active,B ,10.0,INE862A01015,2/3 Wheelers,Equity
212,500257,LUPIN,LUPIN LTD.,Active,A ,2.0,INE326A01037,Pharmaceuticals,Equity
214,500259,LYKALABS,LYKA LABS LTD.,Active,B ,10.0,INE933A01014,Pharmaceuticals,Equity
215,500260,RAMCOCEM,The Ramco Cements Limited,Active,A ,1.0,INE331A01037,Cement &amp; Cement Products,Equity
218,500265,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,B ,5.0,INE271B01025,Construction &amp; Engineering,Equity
219,500266,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,B ,10.0,INE288A01013,Investment Companies,Equity
220,500268,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,B ,5.0,INE201A01024,Petrochemicals,Equity
222,500271,MFSL,Max Financial Services Ltd,Active,A ,2.0,INE180A01020,Life Insurance,Equity
227,500277,MIDINDIA,MID INDIA INDUSTRIES LTD.,Active,XT,10.0,INE401C01018,Textiles,Equity
229,500279,MIRCELECTR,MIRC ELECTRONICS LTD.,Active,B ,1.0,INE831A01028,Consumer Electronics,Equity
230,500280,CENTENKA,CENTURY ENKA LTD.,Active,B ,10.0,INE485A01015,Textiles,Equity
234,500284,LORDSCHLO,LORDS CHLORO ALKALI LTD.,Active,XT,10.0,INE846D01012,Commodity Chemicals,Equity
235,500285,SPICEJET,SPICEJET LTD.,Active,B ,10.0,INE285B01017,Airlines,Equity
237,500288,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,B ,2.0,INE083A01026,Pharmaceuticals,Equity
239,500290,MRF,MRF LTD.,Active,A ,10.0,INE883A01011,Auto Tyres &amp; Rubber Products,Equity
240,500292,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,B ,10.0,INE578A01017,Cement &amp; Cement Products,Equity
242,500294,NCC,NCC Limited,Active,A ,2.0,INE868B01028,Construction &amp; Engineering,Equity
243,500295,VEDL,Vedanta Limited,Active,A ,1.0,INE205A01025,Iron &amp; Steel/Interm.Products,Equity
244,500296,NAHARSPING,NAHAR SPINNING MILLS LTD.,Active,B ,5.0,INE290A01027,Textiles,Equity
246,500300,GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2.0,INE047A01021,Cement &amp; Cement Products,Equity
248,500302,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.0,INE140A01024,Pharmaceuticals,Equity
250,500304,NIITLTD,NIIT LTD.,Active,B ,2.0,INE161A01038,IT Training Services,Equity
252,500307,NIRLON,NIRLON LTD.,Active,B ,10.0,INE910A01012,Misc.Commercial Services,Equity
257,500312,ONGC,OIL AND NATURAL GAS CORPORATION LTD.,Active,A ,5.0,INE213A01029,Exploration &amp; Production,Equity
258,500313,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Active,B ,10.0,INE591A01010,Oil Equipment &amp; Services,Equity
259,500314,ORIENTHOT,ORIENTAL HOTELS LTD.,Active,B ,1.0,INE750A01020,Hotels,Equity
260,500315,ORIENTBANK,ORIENTAL BANK OF COMMERCE,Active,A ,10.0,INE141A01014,Banks,Equity
261,500317,OSWALAGRO,OSWAL AGRO MILLS LTD.,Active,B ,10.0,INE142A01012,Investment Companies,Equity
263,500319,INDSUCR,INDIAN SUCROSE LTD.,Active,XT,10.0,INE557C01017,Sugar,Equity
266,500325,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A ,10.0,INE002A01018,Integrated Oil &amp; Gas,Equity
268,500327,PILITA,Pil Italica Lifestyle Ltd,Active,T ,1.0,INE600A01035,Plastic Products,Equity
271,500330,RAYMOND,RAYMOND LTD.,Active,A ,10.0,INE301A01014,Textiles,Equity
272,500331,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.0,INE318A01026,Specialty Chemicals,Equity
275,500335,BIRLACORPN,BIRLA CORPORATION LTD.,Active,B ,10.0,INE340A01012,Cement &amp; Cement Products,Equity
276,500336,SURYAROSNI,SURYA ROSHNI LTD.,Active,B ,10.0,INE335A01012,Iron &amp; Steel Products,Equity
277,500337,PRIMESECU,PRIME SECURITIES LTD.,Active,B ,5.0,INE032B01021,Other Financial Services,Equity
278,500338,PRISMCEM,PRISM CEMENT LTD.,Active,B ,10.0,INE010A01011,Cement &amp; Cement Products,Equity
279,500339,RAIN,Rain Industries Ltd,Active,B ,2.0,INE855B01025,Petrochemicals,Equity
283,500343,PDUMJEPULP,PUDUMJEE PULP &amp; PAPER MILLS LTD.,Active,B ,2.0,INE606A01024,Paper &amp; Paper Products,Equity
289,500350,RSWM,RSWM LTD.,Active,B ,10.0,INE611A01016,Textiles,Equity
293,500354,RAJSREESUG,RAJSHREE SUGARS &amp; CHEMICALS LTD.,Active,B ,10.0,INE562B01019,Sugar,Equity
294,500355,RALLIS,RALLIS INDIA LTD.,Active,A ,1.0,INE613A01020,Agrochemicals,Equity
295,500356,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.0,INE278B01020,Paper &amp; Paper Products,Equity
296,500358,RAMAPETRO,RAMA PETROCHEMICALS LTD.,Active,XT,10.0,INE783A01013,Finance (including NBFCs),Equity
302,500366,ROLTA,ROLTA INDIA LTD.,Active,B ,10.0,INE293A01013,Internet Software &amp; Services,Equity
303,500368,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,Active,B ,2.0,INE619A01027,Edible Oils,Equity
305,500370,SALORAINTL,SALORA INTERNATIONAL LTD.,Active,T ,10.0,INE924A01013,Comm.Trading  &amp; Distribution,Equity
306,500371,SAMTELIN,SAMTEL INDIA LTD.-$,Active,XT,10.0,INE538C01017,Consumer Electronics,Equity
307,500372,SAMTEL,SAMTEL COLOR LTD.,Active,T ,10.0,INE381A01016,Consumer Electronics,Equity
313,500378,JINDALSAW,JINDAL SAW LTD.,Active,B ,2.0,INE324A01024,Construction &amp; Engineering,Equity
315,500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A ,5.0,INE786A01032,Cement &amp; Cement Products,Equity
319,500387,SHREECEM,SHREE CEMENT LTD.,Active,A ,10.0,INE070A01015,Cement &amp; Cement Products,Equity
320,500388,SKPMIL,SHREE KRISHNA PAPER MILLS &amp; INDUSTRIES LTD.,Active,XT,10.0,INE970C01012,Paper &amp; Paper Products,Equity
322,500390,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,A ,10.0,INE036A01016,Electric Utilities,Equity
324,500394,SOLCT,SOLID CARBIDE TOOLS LTD.,Active,XT,1.0,INE161C01026,Other Industrial Goods,Equity
329,500400,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.0,INE245A01021,Electric Utilities,Equity
330,500402,SPMLINFRA,SPML Infra Limited,Active,B ,2.0,INE937A01023,Construction &amp; Engineering,Equity
331,500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,A ,1.0,INE387A01021,Auto Parts &amp; Equipment,Equity
332,500404,SUNFLAG,SUNFLAG IRON &amp; STEEL CO.LTD.,Active,B ,10.0,INE947A01014,Iron &amp; Steel/Interm.Products,Equity
333,500405,SUPPETRO,SUPREME PETROCHEM LTD.,Active,B ,10.0,INE663A01017,Petrochemicals,Equity
335,500407,SWARAJENG,SWARAJ ENGINES LTD.,Active,B ,10.0,INE277A01016,Auto Parts &amp; Equipment,Equity
336,500408,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.0,INE670A01012,IT Software Products,Equity
338,500410,ACC,ACC LTD.,Active,A ,10.0,INE012A01025,Cement &amp; Cement Products,Equity
339,500411,THERMAX,THERMAX LTD.,Active,A ,2.0,INE152A01029,Heavy Electrical Equipment,Equity
340,500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,B ,10.0,INE338A01016,Commodity Chemicals,Equity
341,500413,THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,B ,1.0,INE332A01027,Travel Support Services,Equity
346,500418,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Active,B ,10.0,INE932C01012,Plastic Products,Equity
348,500420,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,A ,5.0,INE685A01028,Pharmaceuticals,Equity
349,500421,TPINDIA,TPI INDIA LTD.,Active,XT,1.0,INE578C01021,Containers &amp; Packaging,Equity
352,500425,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.0,INE079A01024,Cement &amp; Cement Products,Equity
353,500426,UTLINDS,UTL Industries Limited,Active,XT,1.0,INE184E01024,Copper,Equity
356,500429,UNIPHOS,UNIPHOS ENTERPRISES LTD.,Active,B ,2.0,INE037A01022,Comm.Trading  &amp; Distribution,Equity
365,500439,VHL,VARDHMAN HOLDINGS LTD.,Active,B ,10.0,INE701A01023,Finance (including NBFCs),Equity
366,500440,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.0,INE038A01020,Aluminium,Equity
369,500444,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,B ,2.0,INE976A01021,Paper &amp; Paper Products,Equity
374,500449,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,Active,B ,10.0,INE048A01011,Commodity Chemicals,Equity
375,500450,MPILCORPL,MPIL CORPORATION LTD.,Active,XT,10.0,INE844C01027,Other Financial Services,Equity
381,500459,PGHH,PROCTER &amp; GAMBLE HYGIENE &amp; HEALTH CARE LTD.,Active,A ,10.0,INE179A01014,Personal Products,Equity
382,500460,MUKANDLTD,MUKAND LTD.,Active,B ,10.0,INE304A01026,Iron &amp; Steel/Interm.Products,Equity
384,500463,AGCNET,AGC Networks Limited,Active,B ,10.0,INE676A01019,IT Consulting &amp; Software,Equity
385,500464,UCALFUEL,UCAL FUEL SYSTEMS LTD.,Active,B ,10.0,INE139B01016,Auto Parts &amp; Equipment,Equity
388,500467,HARRMALAYA,HARRISONS MALAYALAM LTD.,Active,T ,10.0,INE544A01019,Auto Tyres &amp; Rubber Products,Equity
390,500469,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.0,INE171A01029,Banks,Equity
391,500470,TATASTEEL,TATA STEEL LTD.,Active,A ,10.0,INE081A01012,Iron &amp; Steel/Interm.Products,Equity
392,500472,SKFINDIA,SKF India Ltd,Active,A ,10.0,INE640A01023,Other Industrial Goods,Equity
393,500477,ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity
394,500480,CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.0,INE298A01020,Industrial Machinery,Equity
395,500483,TATACOMM,TATA COMMUNICATIONS LTD.,Active,A ,10.0,INE151A01013,Telecom - Alternate Carriers,Equity
396,500488,ABBOTINDIA,ABBOTT INDIA LTD.,Active,B ,10.0,INE358A01014,Pharmaceuticals,Equity
397,500490,BAJAJHLDNG,BAJAJ HOLDINGS &amp; INVESTMENT LTD.,Active,A ,10.0,INE118A01012,Holding Companies,Equity
398,500493,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.0,INE465A01025,Other Industrial Products,Equity
399,500495,ESCORTS,ESCORTS LTD.,Active,A ,10.0,INE042A01014,Commercial Vehicles,Equity
400,500500,HINDMOTORS,HINDUSTAN MOTORS LTD.,Active,B ,5.0,INE253A01025,Cars &amp; Utility Vehicles,Equity
401,500510,LT,LARSEN &amp; TOUBRO LTD.,Active,A ,2.0,INE018A01030,Construction &amp; Engineering,Equity
402,500520,M&amp;M,MAHINDRA &amp; MAHINDRA LTD.,Active,A ,5.0,INE101A01026,Cars &amp; Utility Vehicles,Equity
403,500530,BOSCHLTD,BOSCH LTD.,Active,A ,10.0,INE323A01026,Auto Parts &amp; Equipment,Equity
404,500540,PREMIER,PREMIER LTD.,Active,B ,10.0,INE342A01018,Industrial Machinery,Equity
405,500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE029A01011,Refineries/ Petro-Products,Equity
406,500550,SIEMENS,SIEMENS LTD.,Active,A ,2.0,INE003A01024,Heavy Electrical Equipment,Equity
408,500570,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2.0,INE155A01022,Commercial Vehicles,Equity
409,500575,VOLTAS,VOLTAS LTD.,Active,A ,1.0,INE226A01021,Construction &amp; Engineering,Equity
410,500620,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,A ,10.0,INE017A01032,Shipping,Equity
413,500645,DEEPAKFERT,DEEPAK FERTILISERS &amp; PETROCHEMICALS CORPORATION LTD.,Active,B ,10.0,INE501A01019,Commodity Chemicals,Equity
415,500650,EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,B ,5.0,INE369A01029,Specialty Chemicals,Equity
416,500655,GARWARPOLY,GARWARE POLYESTER LTD.,Active,XT,10.0,INE291A01017,Commodity Chemicals,Equity
417,500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.0,INE159A01016,Pharmaceuticals,Equity
